id;titre;enonce;difficulte;duree;nb_questions;genere_par_ia;publie;competence_id
1;communiquer alors que;séculaire;DIFFICILE;21591;10199;true;false;1
2;incalculable large secours;pff regretter à condition que;MOYEN;3838;24202;true;false;2
3;drôlement;gigantesque membre à vie ha ha;MOYEN;27603;3289;true;false;3
4;d'avec camarade;paf au cas où de la part de;MOYEN;20776;25210;true;true;4
5;inventer barrer;saluer parlementaire;MOYEN;867;9482;false;false;5
6;de manière à ce que smack au lieu de;miam;FACILE;6560;21016;false;false;6
7;sauf à;après que hebdomadaire pour;MOYEN;19727;13468;true;false;7
8;vroum après direction;émérite bè boum;DIFFICILE;19077;4348;false;false;8
9;sympathique;dynamique broum;MOYEN;9181;659;false;false;9
10;déclarer;exprimer trop coin-coin;DIFFICILE;7984;22666;true;false;10
